CustomerID,Date,SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Churned,ChurnDate
CUST001,01-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,02-04-2025,Basic,36-50,1,25,Sports,FALSE,
CUST001,03-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,04-04-2025,Basic,36-50,1,51,Sports,FALSE,
CUST001,05-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,06-04-2025,Basic,36-50,1,17,Sports,FALSE,
CUST001,07-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,08-04-2025,Basic,36-50,1,42,Sports,FALSE,
CUST001,09-04-2025,Basic,36-50,1,22,Sports,FALSE,
CUST001,10-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,11-04-2025,Basic,36-50,1,38,Sports,FALSE,
CUST001,12-04-2025,Basic,36-50,1,34,Sports,FALSE,
CUST001,13-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,14-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,15-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,16-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,17-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,18-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,19-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,20-04-2025,Basic,36-50,1,31,Sports,FALSE,
CUST001,21-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,22-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,23-04-2025,Basic,36-50,1,47,Sports,FALSE,
CUST001,24-04-2025,Basic,36-50,1,11,Sports,FALSE,
CUST001,25-04-2025,Basic,36-50,1,20,Sports,FALSE,
CUST001,26-04-2025,Basic,36-50,1,23,Sports,FALSE,
CUST001,27-04-2025,Basic,36-50,1,33,Sports,FALSE,
CUST001,28-04-2025,Basic,36-50,1,60,Sports,FALSE,
CUST001,29-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,30-04-2025,Basic,36-50,0,0,Sports,FALSE,
CUST001,01-05-2025,Basic,36-50,0,0,Sports,FALSE,
