SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Location,HouseholdSize,PrimaryDevice,PaymentSubscriptionPlan,BillingCycle,IsAutoRenew,TenureDays,DaysSinceLastActivity,TotalLogins,TotalWatchTime,AvgWatchTime,LoginFrequency,ActivityRatio,Actual_Churned,LR_Churn_Probability,XGB_Churn_Probability,LR_Prediction,XGB_Prediction,Segment,SegmentName,Strategy,Offer,Channel
Standard,36-50,1,66,Documentaries,North,1,Mobile,Standard,Monthly,True,110,47,70,5421,59.57142857142857,0.6363636363636364,1.4583333333333333,0,0.0002599347928819,1.3570256e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,1,38,TV Shows,North,5,Smart TV,Standard,Annually,True,70,47,59,4245,46.64835164835165,0.8428571428571429,1.2291666666666667,0,0.0141554250513637,1.4776867e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,51+,1,123,Sports,North,5,Smart TV,Premium,Monthly,True,51,47,63,7658,84.15384615384616,1.2352941176470589,1.3125,0,0.2111278990932993,7.0053575e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,79,Sports,West,5,Mobile,Standard,Monthly,True,103,47,69,4943,54.31868131868132,0.6699029126213593,1.4375,0,0.0001371119721956,5.9831624e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,51+,1,91,Documentaries,West,5,Smart TV,Standard,Annually,True,81,47,65,4903,53.87912087912088,0.8024691358024691,1.3541666666666667,0,0.0022210445761391,8.1207226e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,1,58,Sports,East,4,Tablet,Basic,Monthly,True,120,47,40,1472,16.175824175824175,0.3333333333333333,0.8333333333333334,0,0.0005204723311279,5.7580757e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,1,41,Movies,South,3,Web Browser,Basic,Monthly,False,112,74,25,1020,15.9375,0.2232142857142857,0.3333333333333333,0,0.210326477039744,1.4511586e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,31,TV Shows,Central,4,Mobile,Standard,Quarterly,True,97,47,67,5126,56.32967032967033,0.6907216494845361,1.3958333333333333,0,0.0007931093738006,5.399453e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,1,83,Documentaries,West,1,Smart TV,Standard,Monthly,True,125,47,62,4625,50.82417582417583,0.496,1.2916666666666667,0,6.937106644774632e-05,5.2030696e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,75,Movies,East,5,Mobile,Standard,Monthly,True,98,47,65,4907,53.92307692307692,0.6632653061224489,1.3541666666666667,0,0.0007804280298842,3.6962788e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,104,Movies,East,4,Mobile,Standard,Quarterly,True,52,47,71,5348,58.76923076923077,1.3653846153846154,1.4791666666666667,0,0.0794286524536929,0.0003024597,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,18-25,1,122,Sports,West,1,Mobile,Premium,Monthly,False,115,47,62,7873,86.51648351648352,0.5391304347826087,1.2916666666666667,0,0.0004116133754547,5.954481e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,1,74,TV Shows,North,4,Smart TV,Standard,Monthly,True,84,47,61,4519,49.65934065934066,0.7261904761904762,1.2708333333333333,0,0.0055526869030187,1.8192958e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,1,38,Documentaries,West,3,Smart TV,Basic,Annually,True,108,47,47,1826,20.065934065934066,0.4351851851851852,0.9791666666666666,0,0.0003208328825032,9.994152e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,0,0,Documentaries,West,3,Smart TV,Basic,Monthly,True,116,47,49,1652,18.153846153846157,0.4224137931034483,1.0208333333333333,0,9.629031945797856e-05,9.209416e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,1,35,TV Shows,East,1,Smart TV,Basic,Annually,True,90,47,46,1714,18.83516483516484,0.5111111111111111,0.9583333333333334,0,0.0060715533507329,9.795714e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,1,18,Sports,Central,3,Smart TV,Basic,Quarterly,True,66,47,55,1805,19.83516483516484,0.8333333333333334,1.1458333333333333,0,0.0228145218319892,1.5469203e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
