CustomerID,SubscriptionPlan,BillingCycle,IsAutoRenew
CUST001,Basic,Quarterly,False
CUST002,Basic,Annually,True
CUST003,Basic,Quarterly,True
CUST004,Standard,Quarterly,True
CUST005,Premium,Annually,True
CUST006,Standard,Annually,True
CUST007,Standard,Quarterly,True
CUST008,Basic,Monthly,True
CUST009,Basic,Quarterly,True
CUST010,Basic,Monthly,True
CUST011,Standard,Annually,True
CUST012,Standard,Monthly,True
CUST013,Basic,Monthly,False
CUST014,Basic,Annually,True
CUST015,Standard,Quarterly,True
CUST016,Basic,Annually,True
CUST017,Standard,Quarterly,True
CUST018,Standard,Quarterly,True
CUST019,Standard,Annually,True
CUST020,Standard,Quarterly,True
CUST021,Basic,Monthly,True
CUST022,Basic,Annually,True
CUST023,Premium,Annually,False
CUST024,Standard,Monthly,True
CUST025,Standard,Annually,True
CUST026,Standard,Monthly,True
CUST027,Standard,Annually,True
CUST028,Standard,Quarterly,True
CUST029,Basic,Monthly,True
CUST030,Standard,Annually,True
CUST031,Basic,Annually,True
CUST032,Basic,Monthly,False
CUST033,Premium,Quarterly,False
CUST034,Standard,Monthly,True
CUST035,Basic,Monthly,False
CUST036,Basic,Quarterly,True
CUST037,Standard,Quarterly,True
CUST038,Basic,Monthly,True
CUST039,Premium,Monthly,True
CUST040,Standard,Annually,True
CUST041,Basic,Annually,True
CUST042,Basic,Monthly,True
CUST043,Premium,Quarterly,True
CUST044,Standard,Quarterly,False
CUST045,Standard,Quarterly,True
CUST046,Standard,Quarterly,True
CUST047,Premium,Monthly,False
CUST048,Premium,Monthly,False
CUST049,Standard,Quarterly,True
CUST050,Basic,Monthly,True
CUST051,Premium,Quarterly,False
CUST052,Basic,Monthly,True
CUST053,Basic,Monthly,True
CUST054,Premium,Quarterly,True
CUST055,Premium,Monthly,True
CUST056,Basic,Monthly,True
CUST057,Premium,Quarterly,True
CUST058,Basic,Monthly,True
CUST059,Standard,Monthly,True
CUST060,Premium,Annually,True
CUST061,Standard,Monthly,True
CUST062,Basic,Annually,False
CUST063,Basic,Monthly,True
CUST064,Basic,Annually,True
CUST065,Standard,Annually,True
CUST066,Basic,Monthly,True
CUST067,Standard,Monthly,True
CUST068,Standard,Monthly,True
CUST069,Standard,Monthly,True
CUST070,Basic,Monthly,True
CUST071,Basic,Monthly,True
CUST072,Basic,Monthly,True
CUST073,Standard,Quarterly,False
CUST074,Basic,Monthly,False
CUST075,Basic,Monthly,True
CUST076,Premium,Annually,True
CUST077,Standard,Annually,True
CUST078,Basic,Monthly,True
CUST079,Standard,Monthly,True
CUST080,Basic,Monthly,True
CUST081,Premium,Monthly,True
CUST082,Standard,Monthly,True
CUST083,Basic,Monthly,True
CUST084,Basic,Monthly,True
CUST085,Basic,Annually,True
CUST086,Basic,Monthly,True
CUST087,Basic,Quarterly,True
CUST088,Premium,Quarterly,True
CUST089,Premium,Annually,True
